QIIME_ID	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species	Sub_Species	Confidence	trophic_mode
fc32010ba2cb600680bf433bcfe23b9f	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.		0.9953512	Mixotroph
aee656bcd3385ba447e544d1e6b02172	Eukaryota	Obazoa	Opisthokonta	Ichthyosporea	Ichthyophonida	NA	NA	NA	NA	NA	0.9579671	NA
44708776cc787bba16ddc2f513a938de	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellata_XX_Clade-2	Sphaeroeca	Sphaeroeca_leprechaunica		1.0000000	Mixotroph
43aeb86a71fac329fd57783a3ba26948	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_Clade-EC2H	Chrysophyceae_Clade-EC2H_X	Chrysophyceae_Clade-EC2H_XX	Chrysophyceae_Clade-EC2H_XX_sp.		0.9999840	Phototroph
2d6f9cddfa2383178b1b9a4a52a7a135	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	NA	NA	NA	NA	NA	0.9721344	Mixotroph
7ffb322610e2dc2d0f9373408b3e5d8a	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Paramicrosporidium	Paramicrosporidium_saccamoebae		0.9999990	Mixotroph
1de024f30c4cb65c65ee9a28e5042c83	Eukaryota	TSAR	Stramenopiles	Gyrista	Peronosporomycetes	Peronosporomycetes_X	Peronosporomycetes_XX	Peronosporomycetes_XXX	Peronosporomycetes_XXX_sp.		0.8037434	Phototroph
12eaf20b785cca858d031229c4c4d3a6	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastigaceae-AB	Crustomastigaceae-AB_sp.		0.9999392	Phototroph
57497b42bf5b6578b448c86459cfca34	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_XX	Chrysophyceae_XXX	Chrysophyceae_XXX_sp.		0.9990818	Phototroph
e05132505a503930ebba634e550ca0ef	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_XX	Chrysophyceae_XXX	Chrysophyceae_XXX_sp.		0.8850146	Phototroph
5a82ef3b26ff53328a8922c39ba351e1	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_4	Chilodonellidae	NA	NA	NA	0.9999899	Mixotroph
0913368ab4456fba2d8094839c7cfa5b	Eukaryota	TSAR	Rhizaria	Cercozoa	Novel-clade-10-12	Novel-clade-10	Novel-clade-10_X	Novel-clade-10_XX	Novel-clade-10_XX_sp.		1.0000000	Mixotroph
bc4b29b7eef68fe841b47857c0ac06fd	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Oedogoniales	Oedogoniales_X	Oedocladium	Oedocladium_carolinianum		0.7919939	Phototroph
1f471c7c36d118419e58f6e84f9fac1c	Eukaryota	TSAR	Alveolata	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Cyrtolophosis	Cyrtolophosis_mucicola		0.8172717	Mixotroph
b830777dcf741205597ebc4cbdb314aa	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	NA	NA	NA	NA	0.9999992	Mixotroph
0a4ef46a15a0b6deb47798086480d8f2	Eukaryota	TSAR	Alveolata	Ciliophora	Nassophorea	Nassophorea_X	Nassulida	Obertrumia	Obertrumia_georgiana		0.9985245	Mixotroph
7df9bd297390cf7dc250ac4c9f9d33aa	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	NA	NA	NA	NA	NA	0.9617927	Phototroph
5cb6636ff7a3fa7c2f93ef8af55ea745	Eukaryota	Obazoa	Opisthokonta	Fungi	NA	NA	NA	NA	NA	NA	0.9315546	Mixotroph
92e17ffc0799886129454cb6f168dbbf	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Vorticella	Vorticella_microstoma		0.8732685	Mixotroph
458f3ca0985b4b757b9b01b2ae4fd6e6	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Asulcocephalium	Asulcocephalium_sp.		0.7940163	Heterotroph
060df59316f240f0af4a99d64ed0e9c8	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9982861	Mixotroph
ef4b770ece526e1448cadb18a25b2a3a	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.		0.9997800	Mixotroph
e008b485817e08508d56f7919a11c006	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma	NA	NA	0.8232088	Mixotroph
85f25d1aec2b595ea4bfd5057a99114f	Eukaryota	Obazoa	Opisthokonta	Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.		0.9902055	Mixotroph
31946e546098a8eb75bb9fcc6c7c970d	Eukaryota	TSAR	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	NA	NA	NA	0.7100681	Mixotroph
330847775355c61a4439a740b64a55e8	Eukaryota	Cryptista	Cryptophyta	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Cryptomonas	Cryptomonas_reflexa		0.8998052	Heterotroph
7e28b07335eac2c69a666985f5cdc830	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	Chromulinales_X	Chromulinales_XX	Chromulinales_XX_sp.		0.9741335	Phototroph
2a2c7b5390c2f2fc57cfd09429d78160	Eukaryota	TSAR	Alveolata	Ciliophora	Prostomatea	Prorodontida	Urotrichidae	Halodinium	Halodinium_verrucatum		0.7072183	Mixotroph
07a5e91ce1acdf8538a4d4d9a058182d	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	NA	NA	NA	0.9993200	Mixotroph
f4fa915c3e459d564c74745a969689b5	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.		0.9999978	Mixotroph
aec269a318f6526f66bb3ed0f5c2aa6d	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium_furcoides		0.9482618	Heterotroph
