sample-id	lakeID	monthID	year	sample_name	season	season_year	month_code	column	sample_code	lake_month	day_number	month_number	lake_season
BOI-A-W1-ADN	BLR	Jun.	2021	BOI-A-W1	summer	summer_2021	A	W1	BLR_A_W1	BLR_A	1	1	BLR_summer_2021
BOI-A-W2-ADN	BLR	Jun.	2021	BOI-A-W2	summer	summer_2021	A	W2	BLR_A_W2	BLR_A	1	1	BLR_summer_2021
BOI-A-W3-ADN	BLR	Jun.	2021	BOI-A-W3	summer	summer_2021	A	W3	BLR_A_W3	BLR_A	1	1	BLR_summer_2021
BOI-B-W1-ADN	BLR	Jul.	2021	BOI-B-W1	summer	summer_2021	B	W1	BLR_B_W1	BLR_B	30	2	BLR_summer_2021
BOI-B-W2-ADN	BLR	Jul.	2021	BOI-B-W2	summer	summer_2021	B	W2	BLR_B_W2	BLR_B	30	2	BLR_summer_2021
BOI-B-W3-ADN	BLR	Jul.	2021	BOI-B-W3	summer	summer_2021	B	W3	BLR_B_W3	BLR_B	30	2	BLR_summer_2021
BOI-C-W1-ADN	BLR	Aug.	2021	BOI-C-W1	summer	summer_2021	C	W1	BLR_C_W1	BLR_C	65	3	BLR_summer_2021
BOI-C-W2-ADN	BLR	Aug.	2021	BOI-C-W2	summer	summer_2021	C	W2	BLR_C_W2	BLR_C	65	3	BLR_summer_2021
BOI-C-W3-ADN	BLR	Aug.	2021	BOI-C-W3	summer	summer_2021	C	W3	BLR_C_W3	BLR_C	65	3	BLR_summer_2021
BOI-D-W1-ADN	BLR	Sep.	2021	BOI-D-W1	fall	fall_2021	D	W1	BLR_D_W1	BLR_D	100	4	BLR_fall_2021
BOI-D-W2-ADN	BLR	Sep.	2021	BOI-D-W2	fall	fall_2021	D	W2	BLR_D_W2	BLR_D	100	4	BLR_fall_2021
BOI-D-W3-ADN	BLR	Sep.	2021	BOI-D-W3	fall	fall_2021	D	W3	BLR_D_W3	BLR_D	100	4	BLR_fall_2021
BOI-E-W1-ADN	BLR	Oct.	2021	BOI-E-W1	fall	fall_2021	E	W1	BLR_E_W1	BLR_E	128	5	BLR_fall_2021
BOI-E-W2-ADN	BLR	Oct.	2021	BOI-E-W2	fall	fall_2021	E	W2	BLR_E_W2	BLR_E	128	5	BLR_fall_2021
BOI-E-W3-ADN	BLR	Oct.	2021	BOI-E-W3	fall	fall_2021	E	W3	BLR_E_W3	BLR_E	128	5	BLR_fall_2021
BOI-F-W1-ADN	BLR	Nov.	2021	BOI-F-W1	fall	fall_2021	F	W1	BLR_F_W1	BLR_F	157	6	BLR_fall_2021
BOI-F-W2-ADN	BLR	Nov.	2021	BOI-F-W2	fall	fall_2021	F	W2	BLR_F_W2	BLR_F	157	6	BLR_fall_2021
BOI-F-W3-ADN	BLR	Nov.	2021	BOI-F-W3	fall	fall_2021	F	W3	BLR_F_W3	BLR_F	157	6	BLR_fall_2021
BOI-G-W1-ADN	BLR	Jan.	2022	BOI-G-W1	winter	winter_2021	G	W1	BLR_G_W1	BLR_G	220	7	BLR_winter_2021
BOI-G-W2-ADN	BLR	Jan.	2022	BOI-G-W2	winter	winter_2021	G	W2	BLR_G_W2	BLR_G	220	7	BLR_winter_2021
BOI-G-W3-ADN	BLR	Jan.	2022	BOI-G-W3	winter	winter_2021	G	W3	BLR_G_W3	BLR_G	220	7	BLR_winter_2021
BOI-H-W1-ADN	BLR	Feb.	2022	BOI-H-W1	winter	winter_2021	H	W1	BLR_H_W1	BLR_H	248	8	BLR_winter_2021
BOI-H-W2-ADN	BLR	Feb.	2022	BOI-H-W2	winter	winter_2021	H	W2	BLR_H_W2	BLR_H	248	8	BLR_winter_2021
BOI-H-W3-ADN	BLR	Feb.	2022	BOI-H-W3	winter	winter_2021	H	W3	BLR_H_W3	BLR_H	248	8	BLR_winter_2021
BOI-I-W1-ADN	BLR	Mar.	2022	BOI-I-W1	spring	spring_2022	I	W1	BLR_I_W1	BLR_I	276	9	BLR_spring_2022
BOI-I-W2-ADN	BLR	Mar.	2022	BOI-I-W2	spring	spring_2022	I	W2	BLR_I_W2	BLR_I	276	9	BLR_spring_2022
BOI-I-W3-ADN	BLR	Mar.	2022	BOI-I-W3	spring	spring_2022	I	W3	BLR_I_W3	BLR_I	276	9	BLR_spring_2022
