"domain","subdivision","class","order","family","ecological_function"
"Eukaryota","Discosea_X","Centramoebia","Acanthopodida","Acanthamoebidae","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Acanthopodida","Acanthopodida_X","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Acanthopodida","Balamuthiidae","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Himatismenida","Cochliopodiidae","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Himatismenida","Himatismenida_X","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Himatismenida","Parvamoebidae","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Pellitida","Endostelium-lineage","phagotrophs"
"Eukaryota","Discosea_X","Centramoebia","Pellitida","Goceviidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Cavosteliida","Cavosteliida_X","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Flamellidae","ATCC50593-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Flamellidae","Flamella-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Flamellidae","WIM80-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Fractovitellida","Acramoebidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Fractovitellida","Schizoplasmodiidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Fractovitellida","Soliformoviidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Holomastigida","Holomastigida_X","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Holomastigida","Multiciliidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Protosteliida","Protosteliida_X","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","AND16-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","Filamoebidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","Ischnamoebidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","Mariager-Fjord-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","Mb5C-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","Phalansteriidae","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","Variosea_XX","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","WIM1-lineage","phagotrophs"
"Eukaryota","Evosea_X","Variosea","Variosea_X","WIM5-lineage","phagotrophs"
"Eukaryota","Tubulinea_X","Echinamoebida","Echinamoebida_X","Echinamoebidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Arcellinida","Arcellinida_X","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Arcellinida","Difflugina","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Arcellinida","Heleopera-family","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Arcellinida","Phryganellina","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Arcellinida","Sphaerothecina","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Euamoebida","Amoebidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Euamoebida","Hartmannellidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Euamoebida","LOS7N/I-lineage","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Euamoebida","Nolandellidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Euamoebida","Vermamoebidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Leptomyxida","Flabellulidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Leptomyxida","Leptomyxidae","phagotrophs"
"Eukaryota","Tubulinea_X","Elardia","Leptomyxida","Rhizamoeba-saxonica-lineage","phagotrophs"
"Eukaryota","Chlorophyta_X","Chlorodendrophyceae","Chlorodendrales","Chlorodendraceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chaetopeltidales","Chaetopeltidaceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chaetopeltidales","Chaetopeltidales_X","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chaetophorales","Chaetophorales_X","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Coccomyxaceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Chlorophyceae_X","Chlorophyceae_XX","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Oedogoniales","Oedogoniales_X","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Sphaeropleales","Microsporaceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Sphaeropleales","Scenedesmaceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Sphaeropleales","Selenastraceae","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyta_XX","Chlorophyta_XXX","Chlorophyta_XXXX","phototrophs"
"Eukaryota","Chlorophyta_X","Chlorophyta_XX","Nephroselmidaceae","Nephroselmidaceae_X","phototrophs"
