sample_code	Chla	lakeID	monthID	year	season	season_year	month_code	column	lake_month	day_number	month_number	lake_season
BLR_A_W1	21.6	BLR	Jun.	2021	summer	summer_2021	A	W1	BLR_A	1	1	BLR_summer_2021
BLR_A_W2	26.5	BLR	Jun.	2021	summer	summer_2021	A	W2	BLR_A	1	1	BLR_summer_2021
BLR_A_W3	24	BLR	Jun.	2021	summer	summer_2021	A	W3	BLR_A	1	1	BLR_summer_2021
BLR_B_W1	12.4	BLR	Jul.	2021	summer	summer_2021	B	W1	BLR_B	30	2	BLR_summer_2021
BLR_B_W2	11.6	BLR	Jul.	2021	summer	summer_2021	B	W2	BLR_B	30	2	BLR_summer_2021
BLR_B_W3	12	BLR	Jul.	2021	summer	summer_2021	B	W3	BLR_B	30	2	BLR_summer_2021
BLR_C_W1	23.6	BLR	Aug.	2021	summer	summer_2021	C	W1	BLR_C	65	3	BLR_summer_2021
BLR_C_W2	24.6	BLR	Aug.	2021	summer	summer_2021	C	W2	BLR_C	65	3	BLR_summer_2021
BLR_C_W3	24.5	BLR	Aug.	2021	summer	summer_2021	C	W3	BLR_C	65	3	BLR_summer_2021
BLR_D_W1	24.3	BLR	Sep.	2021	fall	fall_2021	D	W1	BLR_D	100	4	BLR_fall_2021
BLR_D_W2	27.8	BLR	Sep.	2021	fall	fall_2021	D	W2	BLR_D	100	4	BLR_fall_2021
BLR_D_W3	27.9	BLR	Sep.	2021	fall	fall_2021	D	W3	BLR_D	100	4	BLR_fall_2021
BLR_E_W1	19.8	BLR	Oct.	2021	fall	fall_2021	E	W1	BLR_E	128	5	BLR_fall_2021
BLR_E_W2	18	BLR	Oct.	2021	fall	fall_2021	E	W2	BLR_E	128	5	BLR_fall_2021
BLR_E_W3	38	BLR	Oct.	2021	fall	fall_2021	E	W3	BLR_E	128	5	BLR_fall_2021
BLR_F_W1	9.6	BLR	Nov.	2021	fall	fall_2021	F	W1	BLR_F	157	6	BLR_fall_2021
BLR_F_W2	9.8	BLR	Nov.	2021	fall	fall_2021	F	W2	BLR_F	157	6	BLR_fall_2021
BLR_F_W3	9.4	BLR	Nov.	2021	fall	fall_2021	F	W3	BLR_F	157	6	BLR_fall_2021
BLR_G_W1	9.2	BLR	Jan.	2022	winter	winter_2021	G	W1	BLR_G	220	7	BLR_winter_2021
BLR_G_W2	8.7	BLR	Jan.	2022	winter	winter_2021	G	W2	BLR_G	220	7	BLR_winter_2021
BLR_G_W3	17.3	BLR	Jan.	2022	winter	winter_2021	G	W3	BLR_G	220	7	BLR_winter_2021
BLR_H_W1	8.3	BLR	Feb.	2022	winter	winter_2021	H	W1	BLR_H	248	8	BLR_winter_2021
BLR_H_W2	24.7	BLR	Feb.	2022	winter	winter_2021	H	W2	BLR_H	248	8	BLR_winter_2021
