lakeID;month_code;month_number;lake_month_number;Chla_median;delta_Chla
BLR;B;2;BLR_2;12;0
BLR;C;3;BLR_3;24.5;24.5
BLR;D;4;BLR_4;27.8;52.3
BLR;E;5;BLR_5;19.8;72.1
BLR;F;6;BLR_6;9.6;81.7
BLR;G;7;BLR_7;9.2;90.9
BLR;H;8;BLR_8;19.1;110
BLR;I;9;BLR_9;11;121
BLR;J;10;BLR_10;2.9;123.9
BLR;K;11;BLR_11;12.4;136.3
BLR;L;12;BLR_12;31.4;167.7
BLR;M;13;BLR_13;42.1;209.8
BLR;N;14;BLR_14;52.5;262.3
BLR;O;15;BLR_15;42.2;304.5
BLR;P;16;BLR_16;30.5;335
BLR;Q;17;BLR_17;14.83;349.83
BLR;R;18;BLR_18;12.63;362.46
CSM;B;2;CSM_2;96.5;0
CSM;C;3;CSM_3;98.8;98.8
CSM;D;4;CSM_4;107.5;206.3
CSM;E;5;CSM_5;6.7;213
CSM;F;6;CSM_6;2.8;215.8
CSM;G;7;CSM_7;7;222.8
CSM;H;8;CSM_8;13.7;236.5
CSM;I;9;CSM_9;1.4;237.9
CSM;J;10;CSM_10;0.6;238.5
CSM;K;11;CSM_11;1.9;240.4
CSM;L;12;CSM_12;2;242.4
CSM;M;13;CSM_13;2.9;245.3
CSM;N;14;CSM_14;19.1;264.4
CSM;O;15;CSM_15;10.3;274.7
CSM;P;16;CSM_16;5.91;280.61
CSM;Q;17;CSM_17;3.89;284.5
CSM;R;18;CSM_18;2.14;286.64
CER-S;B;2;CER-S_2;6.4;0
CER-S;C;3;CER-S_3;11.4;11.4
CER-S;D;4;CER-S_4;5;16.4
CER-S;E;5;CER-S_5;6.3;22.7
CER-S;F;6;CER-S_6;5.7;28.4
CER-S;G;7;CER-S_7;7.7;36.1
CER-S;H;8;CER-S_8;3.9;40
CER-S;I;9;CER-S_9;1.7;41.7
CER-S;J;10;CER-S_10;1.2;42.9
CER-S;K;11;CER-S_11;14.8;57.7
CER-S;L;12;CER-S_12;6.2;63.9
CER-S;M;13;CER-S_13;14.6;78.5
CER-S;N;14;CER-S_14;15.3;93.8
CER-S;O;15;CER-S_15;14.7;108.5
CER-S;P;16;CER-S_16;13.815;122.315
CER-S;Q;17;CER-S_17;12.28;134.595
CER-S;R;18;CER-S_18;14.09;148.685
CRE;B;2;CRE_2;16.2;0
CRE;C;3;CRE_3;23.9;23.9
CRE;D;4;CRE_4;19.7;43.6
CRE;E;5;CRE_5;27.1;70.7
CRE;F;6;CRE_6;6.1;76.8
CRE;G;7;CRE_7;11.1;87.9
CRE;H;8;CRE_8;8.2;96.1
CRE;I;9;CRE_9;5.4;101.5
CRE;J;10;CRE_10;3.5;105
CRE;K;11;CRE_11;7.9;112.9
CRE;L;12;CRE_12;18.6;131.5
CRE;M;13;CRE_13;16;147.5
CRE;N;14;CRE_14;20.4;167.9
CRE;O;15;CRE_15;26.9;194.8
CRE;P;16;CRE_16;86.96;281.76
CRE;Q;17;CRE_17;9.5;291.26
CRE;R;18;CRE_18;1.39;292.65
LGP;B;2;LGP_2;41.6;0
LGP;C;3;LGP_3;51.3;51.3
LGP;D;4;LGP_4;54.9;106.2
LGP;E;5;LGP_5;62.7;168.9
LGP;F;6;LGP_6;38.1;207
LGP;G;7;LGP_7;16;223
LGP;H;8;LGP_8;13.8;236.8
LGP;I;9;LGP_9;7.85;244.65
LGP;J;10;LGP_10;1.9;246.55
LGP;K;11;LGP_11;14;260.55
LGP;L;12;LGP_12;17.7;278.25
LGP;M;13;LGP_13;7.5;285.75
LGP;N;14;LGP_14;8;293.75
LGP;O;15;LGP_15;19.9;313.65
LGP;P;16;LGP_16;10.18;323.83
LGP;Q;17;LGP_17;8.14;331.97
LGP;R;18;LGP_18;11.39;343.36
JAB;B;2;JAB_2;2.2;0
JAB;C;3;JAB_3;2.3;2.3
JAB;D;4;JAB_4;4.6;6.9
JAB;E;5;JAB_5;17.8;24.7
JAB;F;6;JAB_6;1.9;26.6
JAB;G;7;JAB_7;17.3;43.9
JAB;H;8;JAB_8;6.2;50.1
JAB;I;9;JAB_9;0.4;50.5
JAB;J;10;JAB_10;0.4;50.9
JAB;K;11;JAB_11;1.6;52.5
JAB;L;12;JAB_12;1.8;54.3
JAB;M;13;JAB_13;1.4;55.7
JAB;N;14;JAB_14;1.5;57.2
JAB;O;15;JAB_15;1.8;59
JAB;P;16;JAB_16;2.54;61.54
JAB;Q;17;JAB_17;3.36;64.9
JAB;R;18;JAB_18;1.79;66.69
CER-L;B;2;CER-L_2;5.2;0
CER-L;C;3;CER-L_3;8.4;8.4
CER-L;D;4;CER-L_4;7.8;16.2
CER-L;E;5;CER-L_5;4.4;20.6
CER-L;F;6;CER-L_6;3.5;24.1
CER-L;G;7;CER-L_7;2.9;27
CER-L;H;8;CER-L_8;1.4;28.4
CER-L;I;9;CER-L_9;0.6;29
CER-L;J;10;CER-L_10;0.3;29.3
CER-L;K;11;CER-L_11;1.4;30.7
CER-L;L;12;CER-L_12;5.1;35.8
CER-L;M;13;CER-L_13;9.6;45.4
CER-L;N;14;CER-L_14;6.3;51.7
CER-L;O;15;CER-L_15;6.9;58.6
CER-L;P;16;CER-L_16;3.96;62.56
CER-L;Q;17;CER-L_17;3.25;65.81
CER-L;R;18;CER-L_18;6.27;72.08
VSM;B;2;VSM_2;4;0
VSM;C;3;VSM_3;5.6;5.6
VSM;D;4;VSM_4;6.7;12.3
VSM;E;5;VSM_5;3;15.3
VSM;F;6;VSM_6;3.3;18.6
VSM;G;7;VSM_7;3.4;22
VSM;H;8;VSM_8;1.5;23.5
VSM;I;9;VSM_9;0.4;23.9
VSM;J;10;VSM_10;0.2;24.1
