lakeID;nb_ASV;nb_components;nb_clusters;nb_connected_node;nb_edge;nb_positive_edge;nb_negative_edge;positive_edge_percentage;negative_edge_percentage;largest_hub_degree_norm;clustering_coefficient;modularity;edge_density;natural_connectivity;percentage_nodes_LCC;LCC_average_path_length;phototroph_connected_node_percent;mixotrophs_connected_node_percent;hetero_phagotrophs_connected_node_percent;hetero_parasites_connected_node_percent;percent_different_trophic_edge;percent_cluster_1_trophic_mode;percent_cluster_2_trophic_mode;percent_cluster_3_trophic_mode;percent_cluster_4_trophic_mode;mean_cluster_trophic_richness
VSM;128;82;11;52;85;53;32;62,35294118;37,64705882;0,10236;0,45926;0,49599;0,01046;0,00963;0,30469;2,00343;42,30769231;13,46153846;32,69230769;11,53846154;65,88235294;18,18181818;45,45454545;36,36363636;0;2,181818182
JAB;126;98;14;38;38;27;11;71,05263158;28,94736842;0,048;0,55094;0,56856;0,00483;0,00901;0,14286;1,81783;34,21052632;15,78947368;36,84210526;13,15789474;44,73684211;50;42,85714286;7,142857143;0;1,571428571
CER_L;137;82;12;62;139;98;41;70,50359712;29,49640288;0,13235;0,52213;0,38694;0,01492;0,01226;0,35766;1,79776;32,25806452;17,74193548;45,16129032;4,838709677;57,55395683;25;41,66666667;25;8,333333333;2,166666667
CER_S;132;99;9;38;64;47;17;73,4375;26,5625;0,08397;0,62199;0,48572;0,0074;0,00944;0,21212;1,51209;42,10526316;23,68421053;23,68421053;10,52631579;67,1875;11,11111111;55,55555556;22,22222222;11,11111111;2,333333333
CRE;126;89;17;53;50;48;2;96;4;0,04;0,74976;0,88198;0,00698;0,00997;0,05556;0,91563;54,71698113;13,20754717;22,64150943;9,433962264;46;47,05882353;35,29411765;17,64705882;0;1,705882353
BLR;151;87;9;66;125;76;49;60,8;39,2;0,06667;0,41065;0,44573;0,01104;0,00843;0,42384;2,16448;36,36363636;22,72727273;36,36363636;4,545454545;56,8;22,22222222;22,22222222;33,33333333;22,22222222;2,555555556
LGP;167;126;14;51;48;41;7;85,41666667;14,58333333;0,0241;0,43832;0,80925;0,00354;0,00682;0,11377;2,31376;31,37254902;19,60784314;39,21568627;9,803921569;35,41666667;35,71428571;64,28571429;0;0;1,642857143
CSM;154;112;12;54;91;90;1;98,9010989;1,098901099;0,06536;0,78568;0,74025;0,00772;0,01157;0,07143;0,91741;37,03703704;22,22222222;27,77777778;12,96296296;63,73626374;8,333333333;50;41,66666667;0;2,333333333
VSS;188;142;15;60;67;65;2;97,01492537;2,985074627;0,03743;0,63521;0,85633;0,00398;0,00658;0,05319;1,0063;31,66666667;20;38,33333333;10;38,80597015;46,66666667;33,33333333;20;0;1,733333333
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;30,469;;;;;;;;;;;
;;;;;;;;;;;;;;;14,286;;;;;;;;;;;
;;;;;;;;;;;;;;;35,766;;;;;;;;;;;
;;;;;;;;;;;;;;;21,212;;;;;;;;;;;
;;;;;;;;;;;;;;;5,556;;;;;;;;;;;
;;;;;;;;;;;;;;;42,384;;;;;;;;;;;
;;;;;;;;;;;;;;;11,377;;;;;;;;;;;
;;;;;;;;;;;;;;;7,143;;;;;;;;;;;
;;;;;;;;;;;;;;;5,319;;;;;;;;;;;
