"","Richness","Evenness","Shannon","sample_code","lakeID","day_number"
"BOI.A.W1",416,0.641829476575761,3.87067156398664,"BLR_A_W1","BLR",1
"BOI.A.W2",421,0.659818987364194,3.98704387733394,"BLR_A_W2","BLR",1
"BOI.A.W3",394,0.659905807298625,3.94382867150012,"BLR_A_W3","BLR",1
"BOI.B.W1",308,0.599862056661073,3.4372694406877,"BLR_B_W1","BLR",30
"BOI.B.W2",293,0.619321793512414,3.51785468767654,"BLR_B_W2","BLR",30
"BOI.B.W3",314,0.599895979024998,3.44903773408089,"BLR_B_W3","BLR",30
"BOI.C.W1",204,0.596251001812977,3.17093437409124,"BLR_C_W1","BLR",65
"BOI.C.W2",251,0.624972622096899,3.4532568116422,"BLR_C_W2","BLR",65
"BOI.C.W3",219,0.601457699292624,3.24129868393836,"BLR_C_W3","BLR",65
"BOI.D.W1",191,0.685323311852057,3.59950542046147,"BLR_D_W1","BLR",100
"BOI.D.W2",242,0.653171816839022,3.58521942711001,"BLR_D_W2","BLR",100
"BOI.D.W3",241,0.683731862625693,3.75013042345925,"BLR_D_W3","BLR",100
"BOI.E.W1",205,0.6803387964446,3.62145020266962,"BLR_E_W1","BLR",128
"BOI.E.W2",211,0.687409257155592,3.67891682393489,"BLR_E_W2","BLR",128
"BOI.E.W3",173,0.681551298317216,3.51223257683716,"BLR_E_W3","BLR",128
"BOI.F.W1",244,0.760176021790444,4.17881547261622,"BLR_F_W1","BLR",157
"BOI.F.W2",178,0.780161774679731,4.04262945060211,"BLR_F_W2","BLR",157
"BOI.F.W3",196,0.741515474779895,3.91380369748204,"BLR_F_W3","BLR",157
"BOI.G.W1",213,0.712140651792497,3.81799409733832,"BLR_G_W1","BLR",220
"BOI.G.W2",217,0.700481821345246,3.76852029685849,"BLR_G_W2","BLR",220
"BOI.G.W3",207,0.674854123534995,3.5988072672877,"BLR_G_W3","BLR",220
"BOI.H.W1",275,0.720222508230931,4.04532496812042,"BLR_H_W1","BLR",248
"BOI.H.W2",281,0.73169437521004,4.12555239699077,"BLR_H_W2","BLR",248
"BOI.H.W3",284,0.744480610111213,4.20555178732878,"BLR_H_W3","BLR",248
"BOI.I.W1",202,0.676458685358872,3.59082378811698,"BLR_I_W1","BLR",276
"BOI.I.W2",209,0.693758944649203,3.7062921726064,"BLR_I_W2","BLR",276
"BOI.I.W3",198,0.695033782254791,3.67552423591693,"BLR_I_W3","BLR",276
"BOI.J.W1",219,0.655788399454627,3.53409072424254,"BLR_J_W1","BLR",311
"BOI.J.W2",180,0.67767790127803,3.51915210013864,"BLR_J_W2","BLR",311
"BOI.J.W3",217,0.66806641111912,3.59412871716903,"BLR_J_W3","BLR",311
"BOI.K.W1",223,0.653617558370582,3.5342224109521,"BLR_K_W1","BLR",337
"BOI.K.W2",209,0.662962614262624,3.54176788194735,"BLR_K_W2","BLR",337
"BOI.K.W3",179,0.676722192447288,3.5104190955985,"BLR_K_W3","BLR",337
