sample_code;lakeID;month_code;season;season_year;column;lake_month;year;TPN;TPC;volume_TPCN;Temperature;salinity;pH;Chla;NH4;PO43;NO3_NO2;Na_589_592;P_178_287;S_182_034;Fe_238_204
BOI-A-W2;BLR;A;summer;summer_2021;W2;BLR_A;2021;0.0785364;0.8191736;500;22.3;0.1;7.8;26.5;0.6748295;0.0050;0.7290;;;;
BOI-B-W2;BLR;B;summer;summer_2021;W2;BLR_B;2021;0.158770857142857;1.61829371428571;350;26;0.1;8.2;11.6;0.4688588;0.0230;10.1820;7717;57.98;1284.8;21,43
BOI-C-W2;BLR;C;summer;summer_2021;W2;BLR_C;2021;0.312213;2.743724;200;21.6;0.1;8.1;24.6;3.4773695;0.0160;73.5780;;;;
BOI-D-W2;BLR;D;autumn;autumn_2021;W2;BLR_D;2021;0.240361;2.081144;200;18.8;0.1;8.2;27.8;1.7099557;0.0070;0.8240;;;;
BOI-E-W2;BLR;E;autumn;autumn_2021;W2;BLR_E;2021;0.196024666666667;1.88611933333333;300;12.7;0.1;8.2;18;0.37923405;-0.002;0.746;4405.3;4.263;891.3;6,57
BOI-F-W2;BLR;F;autumn;autumn_2021;W2;BLR_F;2021;0.0902372;0.8729576;500;7.4;0.15;8.11;9.8;2.51726752;0.028;4.6495;;;;
BOI-G-W2;BLR;G;winter;winter_2021;W2;BLR_G;2022;0.0777412;0.6847136;500;3.7;0.2;8.2;8.7;0.80800818;1.052;11.525;7614;8.44;1731.5;10,3
BOI-H-W2;BLR;H;winter;winter_2021;W2;BLR_H;2022;0.083194;0.7334756;500;8.6;0.2;8;24.7;0.6516195;1.07;9.2;;;;
BOI-I-W2;BLR;I;spring;spring_2022;W2;BLR_I;2022;0.1083916;0.8890808;500;12.9;0.2;8.2;6.8;0.474269;0.042;0.015;;;;
BOI-J-W2;BLR;J;spring;spring_2022;W2;BLR_J;2022;0.1046692;0.98904;500;17;0.14;8.2;6.7;0.50272514;0.012;0.498;8380.2;16.5;1800.7;9,53
BOI-K-W2;BLR;K;spring;spring_2022;W2;BLR_K;2022;0.1418345;1.212287;400;22;0.2;8.1;13.3;0.46047778;0.018;0.158;;;;
BOI-L-W2;BLR;L;summer;summer_2022;W2;BLR_L;2022;0.288181;2.774594;200;22.2;0.14;7.9;31.4;0.55015204;0.06;0.331;;;;
BOI-M-W2;BLR;M;summer;summer_2022;W2;BLR_M;2022;0.296359;2.724533;200;24.3;0.13;8.13;42.1;0.38693996;0.04;0.158;8666;21.01;1381.3;5,64
BOI-N-W2;BLR;N;summer;summer_2022;W2;BLR_N;2022;0.268159;2.155954;200;23.5;0.14;7.9;63;6.44668892;0.01;1.31;;;;
BOI-O-W2;BLR;O;autumn;autumn_2022;W2;BLR_O;2022;0.275567333333333;2.414798;300;15.8;0.13;8.15;37.5;0.50391908;0.009;0.046;;;;
BOI-P-W2;BLR;P;autumn;autumn_2022;W2;BLR_P;2022;0.228695333333333;2.00138466666667;300;8.8;0.15;8.12;15.43;0.51260734;0.024;0.0;4506;34.83;818.3;2,19
BOI-Q-W2;BLR;Q;autumn;autumn_2022;W2;BLR_Q;2022;0.1053985;0.9282655;400;8.9;0.15;8.12;12.09;1.33069596;0.037;14.543;;;;
BOI-R-W2;BLR;R;winter;winter_2022;W2;BLR_R;2022;0.1026085;0.918;400;9;0.15;8.11;14.83;2.51726752;0.031;1.037;;;;
CHA-A-W2;CSM;A;summer;summer_2021;W2;CSM_A;2021;0.2074724;1.1258396;500;22.7;0.2;8.7;59.8;1.1555300;0.2115;155.7600;;;;
CHA-B-W2;CSM;B;summer;summer_2021;W2;CSM_B;2021;0.403812;2.3764192;250;25.8;0.1;9.0;96.5;1.1185530;0.1240;9.1570;21848.9;21.05;26012.6;2,53
CHA-C-W2;CSM;C;summer;summer_2021;W2;CSM_C;2021;0.466911764705882;2.27349960784314;510;20.7;0.2;8.2;98.8;14.0512448;0.5265;45.5800;;;;
CHA-D-W2;CSM;D;autumn;autumn_2021;W2;CSM_D;2021;0.3752596;2.1814316;500;18;0.2;8.2;117.7;18.3948940;0.3330;3.8180;;;;
CHA-E-W2;CSM;E;autumn;autumn_2021;W2;CSM_E;2021;0.12995425;0.73321475;800;13;0.2;7.6;6.7;38.044954375;2.849;4.05;18936.9;136.9;27192.5;10,82
CHA-F-W2;CSM;F;autumn;autumn_2021;W2;CSM_F;2021;0.035917;0.2328448;1000;7.11;0.29;7.55;3.1;113.75538818;7.761;1.793;;;;
CHA-G-W2;CSM;G;winter;winter_2021;W2;CSM_G;2022;0.0419572;0.2763116;500;5;0.3;7.9;8.3;114.99840516;7.472;34.529;19852.6;267.1;27639.3;20,97
