Taxa;Biovolume;source
Achnanthes;1983;Pierre
Actinastrum;189;Pierre
Actinastrum_hantzschii;189;Pierre
Amphora;18840;Pierre
Ankyra;2277;Pierre
Ankyra_ancora;2277;Pierre
Aphanizomenon;2529;Pierre
Aphanizomenon_gracile;2529;Pierre
Aphanothece;1509;Pierre
Asterionella;858;Pierre
Aulacoseira;1988;Pierre
Botryococcus;67.02;Pierre
Botryococcus_braunii;67.02;Pierre
Bumilleriopsis;1.6;PLOS
Centronella;636;Pierre
Ceratium;20412;Pierre
Ceratium_hirundinella;20412;Pierre
Chlamydomonas;1539;Pierre
Chlorella;142.5;PEG
Chroococcus;351;Pierre
Chroococcus_Synechocystis;58;Pierre
Chroomonas;154;Pierre
Closteriopsis_longissima;1139;PEG
Closterium;530;Pierre
Coccomyxa;6.14;PEG
Cocconeis;4638;Pierre
Coelastrum;149;Pierre
Coelastrum_microporum;149;Pierre
Coelomoron;63;Pierre
Coenochloris;524;Pierre
Colacium;359;PEG
Cosmocladium;5011;Pierre
Cosmarium;372;Pierre
Crucigenia;182;Pierre
Lemmermannia_tetrapedia;46;Pierre
Cryptomonas;2761;Pierre
Cuspidothrix;1696;Pierre
Cyanocatena;703;Pierre
Cyclotella;3231;Pierre
Cymbella;1322;Pierre
Diatoma;1085;Pierre
Dictyosphaerium;73;Pierre
Dinobryon;272;Pierre
Dolichospermum;2941;Pierre
Elakatothrix;115;Pierre
Epithemia;1983;Pierre
Euastrum;5011;Pierre
Euglena;3794;Pierre
Eunotia;223;PEG
Fragilaria;673;Pierre
Geitlerinema;962;Pierre
Glaucospira;0;no data
Golenkinia;1022;Pierre
Gomphonema;262;Pierre
Goniochloris;248;Pierre
Kirchneriella;84;Pierre
NA_Dinophyceae;1254984.788;Pierre
Lagerheimia;254;Pierre
Limnothrix;364;Pierre
Melosira;5700;moyenne PEG
Merismopedia;1;Pierre
Merismopedia_minutissima;1;Pierre
Micractinium;54.8;Pierre
Microcystis;74;Pierre
Monoraphidium;61;Pierre
Monoraphidium_griffithii;61;Pierre
Monoraphidium_minutum;61;Pierre
Mougeotia;8266;Pierre
Navicula;371;Pierre
Nitzschia;2748;Pierre
Ochromonas;37.7;Pierre
Oocystis;2065;Pierre
Oocystis_lacustris;2065;Pierre
Pandorina;13675;Pierre
Pediastrum;5273;Pierre
Pediastrum_boryanum;6587;Pierre
Pediastrum_duplex;3475;Pierre
Pediastrum_tetras;3475;Pierre
Peridiniopsis;15830;Pierre
Peridinium;10819;Pierre
Phacotus;975;Pierre
Phacus;2235;Pierre
Phormidium;981;Pierre
Pinnularia;84255;Pierre
Planktolyngbya;323;Pierre
Planktolyngbya_circumcreta;323;Pierre
Planktothrix;3;Pierre
Pseudanabaena;250;Pierre
Pteromonas;0;no data
Raphidocelis;23;Pierre
Scenedesmus;628;Pierre
Schroederia;513;Pierre
Snowella;17;Pierre
Sphaerocystis;524;Pierre
Sphaerocystis_schroeteri;524;Pierre
Staurastrum;3;Pierre
Stauroneis;122649;Fonseca 2014
NA_Chrysophyceae;147.5;moyenne PEG
NA_Cryptomonadales;1621.693878;moyenne PEG
NA_Nostocales;2767.767123;moyenne PEG
NA_Synechococcales;202.5626144;moyenne PEG
Tetraedron;823;Pierre
Tetraedron_minimum;823;Pierre
Tetrastrum;299;Pierre
Trachelomonas;1950;Pierre
Tribonema_minus;336.7;Fonseca 2014
Ulnaria;1200;Pierre
Ulnaria_ulna;1200;Pierre
Volvox;2729;Pierre
Woronichinia;369;Pierre
Woronichinia_naegeliana;369;Pierre
Oscillatoriales_Hormogonies;4351.378676;moyenne PEG
