sample;Eukaryota-Subdivision_Prokaryota-Phylum;Class;Order;Taxa;Form;nb;percent;column;month_code;lakeID
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;2;0.374531835;W1;A;BLR
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;5;0.936329588;W1;A;BLR
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;6;1.123595506;W1;A;BLR
BOI-A-W1;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;12;2.247191011;W1;A;BLR
BOI-A-W1;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;4;0.74906367;W1;A;BLR
BOI-A-W1;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;7;1.310861423;W1;A;BLR
BOI-A-W1;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;476;89.13857678;W1;A;BLR
BOI-A-W1;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;4;0.74906367;W1;A;BLR
BOI-A-W1;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;1;0.187265918;W1;A;BLR
BOI-A-W1;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;7;1.310861423;W1;A;BLR
BOI-A-W1;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Elakatothrix;;2;0.374531835;W1;A;BLR
BOI-A-W1;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;4;0.74906367;W1;A;BLR
BOI-A-W1;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;4;0.74906367;W1;A;BLR
BOI-A-W2;Chlorophyta;Chlorophyceae;Chlamydomonadales;Phacotus;;4;0.59347181;W2;A;BLR
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Kirchneriella;;3;0.445103858;W2;A;BLR
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Monoraphidium;;6;0.890207715;W2;A;BLR
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Pediastrum;;1;0.148367953;W2;A;BLR
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmus;;10;1.483679525;W2;A;BLR
BOI-A-W2;Chlorophyta;Chlorophyceae;Sphaeropleales;Tetraedron;;15;2.225519288;W2;A;BLR
BOI-A-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Lagerheimia;;3;0.445103858;W2;A;BLR
BOI-A-W2;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystis_lacustris;;13;1.928783383;W2;A;BLR
BOI-A-W2;Chlorophyta;Trebouxiophyceae;Ordo_incertae_sedis;Crucigenia;;20;2.96735905;W2;A;BLR
BOI-A-W2;Cyanobacteria;Cyanophyceae;Chroococcales;Cyanocatena;;565;83.82789318;W2;A;BLR
BOI-A-W2;Euglenozoa;Euglenophyceae;Euglenales;Trachelomonas;;4;0.59347181;W2;A;BLR
BOI-A-W2;Gyrista;Chrysophyceae;Ochromonadales;Dinobryon;;4;0.59347181;W2;A;BLR
BOI-A-W2;Gyrista;Mediophyceae;Thalassiosirales;Cyclotella;;20;2.96735905;W2;A;BLR
BOI-A-W2;Streptophyta;Zygnematophyceae;Desmidiales;Closterium;;5;0.741839763;W2;A;BLR
BOI-A-W2;Streptophyta;Zygnematophyceae;Desmidiales;Cosmarium;;1;0.148367953;W2;A;BLR
